coin,weight
tes,3.743359034341947e-06
tfd,2.7304742514500604e-05
tfl,1.3545917455057414e-05
tgame,3.44581631405723e-06
thc,3.5264232238242634e-05
theta,0.00030198673390652596
thr,8.35285443884268e-06
thrt,4.6223069678904275e-06
tie,4.121083920757605e-06
tig,2.236123076690469e-06
time,1.8499164093016827e-05
tiox,5.967880672973549e-05
tips,3.3034914841709355e-05
tix,2.9680903604587185e-05
tka,3.555272713182441e-06
tkn,4.6945672196252055e-05
tks,1.0240938937524534e-05
tky,9.892027034332219e-05
tnb,0.00011792486939588252
tnt,4.654495058927469e-05
toa,1.1480757505412533e-05
tomo,6.37591846449689e-05
tpay,0.00012180367875239081
trac,4.6903257576643426e-05
trak,5.702171892008853e-06
trc,1.1034052401942899e-05
trf,7.188497893848414e-06
trig,3.1966557806617315e-05
trio,1.5754662640677127e-05
trk,1.7348510504530296e-06
troll,1.7136331852231002e-06
trst,9.786963313731802e-06
trtl,4.119298257776871e-06
trtt,7.0032123702974304e-06
true,0.00011463509819651102
trx,0.006754317818384655
tsl,1.2352601148533746e-05
tx,7.594777537193372e-06
tzc,3.96739688596654e-06
ubq,0.00011121754731583462
ubt,1.2889482282490694e-05
ucash,5.476276564205272e-05
ufo,5.8566179914133035e-06
ufr,7.819664044835745e-06
ugc,2.5590553329085033e-05
ukg,2.7058124686573584e-05
unic,3.0109265457013974e-06
unit,6.739777631542654e-06
uno,8.881071998622294e-05
up,1.4199773208605968e-05
upp,3.033669764902979e-05
uqc,2.8493127743092525e-05
utk,6.54068989690906e-05
utnp,5.910422196856946e-05
utt,6.525796754759935e-05
uuu,1.9727681851983434e-05
vee,0.0001049217249886945
vet,0.0037592255705098296
vgx,0.0001364739562630905
via,7.640986682049337e-05
vib,2.739096035184069e-05
vibe,5.360543882131658e-05
view,3.2881908003568916e-06
vin,9.618104469430141e-06
vips,0.00015023826655574364
vitae,2.185134275375888e-05
vite,5.999638901861468e-05
viu,2.726038749452362e-06
vivo,1.7910263724387656e-06
vme,1.0230544808315539e-05
voise,4.570095029079223e-06
vrc,2.2035869941488046e-05
vrm,6.050657634384189e-06
vsl,1.9053731730872287e-06
vsx,2.694904882019041e-06
vtc,0.00015254808523065282
vzt,8.18754299186639e-06
wabi,4.330933836919564e-05
wage,1.6964476543363534e-06
wan,0.0005082462591223946
wand,2.529967957933604e-06
waves,0.0010405795605125208
waxp,1.2922539413221644e-05
wco,1.573469991270946e-05
wct,1.5438969109696084e-05
web,4.611117359446585e-06
wfee,7.614030086360201e-06
wicc,0.0001803547021745392
wings,5.6869069798745756e-05
wish,5.262894605975799e-06
wpr,4.803723691636642e-05
wrc,4.6841197878564524e-06
wsp,2.0753566299214606e-06
wtc,0.00036217290161903514
wtt,7.385852203365363e-06
x8x,9.545963097735127e-06
xap,7.701623805359459e-06
xas,8.832701667302877e-05
xaur,2.0008735292706878e-05
xbc,8.320404958377244e-06
xbi,2.6290129491091334e-06
xbp,2.4451759273007974e-06
xbtg,3.2717329639228307e-06
xby,9.255992936237369e-05
xclr,1.0338704921727407e-05
xcn,2.607264852162237e-06
xcp,4.96662387026847e-05
xd,5.6752935284039616e-05
xdc,9.54944112883479e-05
xdn,9.957199767243291e-05
xel,2.9036167711130032e-05
xem,0.0041584326133736645
xes,2.151958280375932e-05
xet,0.0002315755650135592
xgox,2.1524730624475032e-06
xhi,1.3836661821829628e-05
xhv,9.92884954075536e-06
xin,0.00019153266819893177
xlm,0.01997731607624898
xlq,3.9156636985568475e-05
xlr,1.180669237792327e-05
xmc,0.00011075819259655994
xmcc,3.855715794715504e-06
xmg,3.0345962438785177e-06
xmr,0.009051252221415973
xmx,4.978399414092073e-05
xmy,2.278084218033116e-05
xnn,2.4648544318300917e-06
xp,3.3195072911754484e-05
xpat,7.89080155776386e-06
xpd,5.059797192043263e-06
xpm,9.037261874528841e-05
xpx,0.00010489636455497976
xrp,0.07251582033496086
xsd,1.2127118814836256e-05
xsg,3.2206132367546444e-06
xsh,1.911389721734783e-05
xsn,4.8976266879233604e-05
xspec,2.5633023917527782e-05
xst,1.9466246784432834e-05
xtz,0.004199150331078105
