Date,BITX,% Change
Wed Dec 20 2017 19:00:00 GMT-0500,24325.98,-0.75%
Thu Dec 21 2017 19:00:00 GMT-0500,23930.58,-1.63%
Fri Dec 22 2017 19:00:00 GMT-0500,20981.49,-12.32%
Sat Dec 23 2017 19:00:00 GMT-0500,22431.61,6.91%
Sun Dec 24 2017 19:00:00 GMT-0500,21260.7,-5.22%
Mon Dec 25 2017 19:00:00 GMT-0500,21364.18,0.49%
Tue Dec 26 2017 19:00:00 GMT-0500,23241.37,8.79%
Wed Dec 27 2017 19:00:00 GMT-0500,22881.27,-1.55%
Thu Dec 28 2017 19:00:00 GMT-0500,21837.14,-4.56%
Fri Dec 29 2017 19:00:00 GMT-0500,23575.3,7.96%
Sat Dec 30 2017 19:00:00 GMT-0500,21211.12,-10.03%
Sun Dec 31 2017 19:00:00 GMT-0500,22745.54,7.23%
Mon Jan 01 2018 19:00:00 GMT-0500,22633.49,-0.49%
Tue Jan 02 2018 19:00:00 GMT-0500,25390.14,12.18%
Wed Jan 03 2018 19:00:00 GMT-0500,26670.96,5.04%
Thu Jan 04 2018 19:00:00 GMT-0500,26525.44,-0.55%
Fri Jan 05 2018 19:00:00 GMT-0500,27615.65,4.11%
Sat Jan 06 2018 19:00:00 GMT-0500,28551.62,3.39%
Sun Jan 07 2018 19:00:00 GMT-0500,28554.48,0.01%
Mon Jan 08 2018 19:00:00 GMT-0500,26660.2,-6.63%
Tue Jan 09 2018 19:00:00 GMT-0500,26203.41,-1.71%
Wed Jan 10 2018 19:00:00 GMT-0500,26545.07,1.30%
Thu Jan 11 2018 19:00:00 GMT-0500,24111.29,-9.17%
Fri Jan 12 2018 19:00:00 GMT-0500,25574.71,6.07%
Sat Jan 13 2018 19:00:00 GMT-0500,26592.04,3.98%
Sun Jan 14 2018 19:00:00 GMT-0500,25535.98,-3.97%
Mon Jan 15 2018 19:00:00 GMT-0500,24608.17,-3.63%
Tue Jan 16 2018 19:00:00 GMT-0500,20015.95,-18.66%
Wed Jan 17 2018 19:00:00 GMT-0500,19782.95,-1.16%
Thu Jan 18 2018 19:00:00 GMT-0500,20375.14,2.99%
Fri Jan 19 2018 19:00:00 GMT-0500,20684.16,1.52%
Sat Jan 20 2018 19:00:00 GMT-0500,22654.66,9.53%
Sun Jan 21 2018 19:00:00 GMT-0500,20289.92,-10.44%
Mon Jan 22 2018 19:00:00 GMT-0500,19155.94,-5.59%
Tue Jan 23 2018 19:00:00 GMT-0500,19105.46,-0.26%
Wed Jan 24 2018 19:00:00 GMT-0500,20020.29,4.79%
Thu Jan 25 2018 19:00:00 GMT-0500,19620.89,-1.99%
Fri Jan 26 2018 19:00:00 GMT-0500,19372.78,-1.26%
Sat Jan 27 2018 19:00:00 GMT-0500,19878.17,2.61%
Sun Jan 28 2018 19:00:00 GMT-0500,21125.12,6.27%
Mon Jan 29 2018 19:00:00 GMT-0500,20133.7,-4.69%
