Date,BITW20,% Change
Sun Dec 10 2017 19:00:00 GMT-0500,23083.14,-7.50%
Mon Dec 11 2017 19:00:00 GMT-0500,26959.14,16.79%
Tue Dec 12 2017 19:00:00 GMT-0500,30609.92,13.54%
Wed Dec 13 2017 19:00:00 GMT-0500,31774.49,3.80%
Thu Dec 14 2017 19:00:00 GMT-0500,36263.61,14.13%
Fri Dec 15 2017 19:00:00 GMT-0500,36888.32,1.72%
Sat Dec 16 2017 19:00:00 GMT-0500,40054.03,8.58%
Sun Dec 17 2017 19:00:00 GMT-0500,42274.78,5.54%
Mon Dec 18 2017 19:00:00 GMT-0500,50011.36,18.30%
Tue Dec 19 2017 19:00:00 GMT-0500,54535.47,9.05%
Wed Dec 20 2017 19:00:00 GMT-0500,55157.72,1.14%
Thu Dec 21 2017 19:00:00 GMT-0500,56117.81,1.74%
Fri Dec 22 2017 19:00:00 GMT-0500,45492.39,-18.93%
Sat Dec 23 2017 19:00:00 GMT-0500,50987.94,12.08%
Sun Dec 24 2017 19:00:00 GMT-0500,51353,0.72%
Mon Dec 25 2017 19:00:00 GMT-0500,54095.21,5.34%
Tue Dec 26 2017 19:00:00 GMT-0500,53771.1,-0.60%
Wed Dec 27 2017 19:00:00 GMT-0500,52561.05,-2.25%
Thu Dec 28 2017 19:00:00 GMT-0500,50937.49,-3.09%
Fri Dec 29 2017 19:00:00 GMT-0500,56010.18,9.96%
Sat Dec 30 2017 19:00:00 GMT-0500,51315.72,-8.38%
Sun Dec 31 2017 19:00:00 GMT-0500,56584.2,10.27%
Mon Jan 01 2018 19:00:00 GMT-0500,58041.1,2.57%
Tue Jan 02 2018 19:00:00 GMT-0500,60440.84,4.13%
Wed Jan 03 2018 19:00:00 GMT-0500,62337.75,3.14%
Thu Jan 04 2018 19:00:00 GMT-0500,62202.62,-0.22%
Fri Jan 05 2018 19:00:00 GMT-0500,65897.31,5.94%
Sat Jan 06 2018 19:00:00 GMT-0500,77320.85,17.34%
Sun Jan 07 2018 19:00:00 GMT-0500,78669.67,1.74%
Mon Jan 08 2018 19:00:00 GMT-0500,67259.57,-14.50%
Tue Jan 09 2018 19:00:00 GMT-0500,66617.53,-0.95%
