;Date;Last Px;Open Px;Volume;High Px;Low Px;;Contracts;;
We;5/6/2019;7835;7525;2851;7970;7435;;;;
Tu;4/6/2019;7625;8560;11780;8565;7515;;;;
Mo;3/6/2019;8640;8730;4641;8865;8385;;;;
;;0;;;;;;;;
Fr;05/31/2019;8535;8320;8559;8615;8145;;;;
Th;05/30/2019;8680;8720;3303;9180;8420;;;;
We;05/29/2019;8755;8810;1876;8820;8460;;;;
Tu;05/28/2019;8775;8660;2145;9065;8600;;;;
;;0;;;;;;;;
Fr;05/24/2019;8095;7860;427;8235;7840;;;;
Th;05/23/2019;7820;7690;288;7900;7510;;;;
We;05/22/2019;7965;8005;260;8090;7720;;;;
Tu;05/21/2019;8050;8100;476;8140;7845;;;;
Mo;05/20/2019;7850;8085;944;8380;7630;;;;
;;0;;;;;;;;
Fr;05/17/2019;7195;7725;872;7995;6335;;;;
Th;05/16/2019;7895;8230;566;8435;7785;;;;
We;05/15/2019;8230;7870;436;8300;7855;;;;
Tu;05/14/2019;7785;8090;1550;8400;7625;;;;
Mo;05/13/2019;7945;7135;1887;8020;6860;;;;
;;0;;;;;;;;
Fr;10/5/2019;6360;6145;296;6425;6115;;;;
Th;9/5/2019;6055;5880;331;6105;5835;;;;
We;8/5/2019;5895;5880;285;5900;5640;;;;
Tu;7/5/2019;5840;5710;416;5975;5680;;;;
Mo;6/5/2019;5740;5785;236;5785;5570;;;;
;;0;;;;;;;;
Fr;3/5/2019;5675;5390;584;5800;5370;;;;
Th;2/5/2019;5385;5315;260;5410;5305;;;;
We;1/5/2019;5290;5250;125;5345;5250;;;;
Tu;04/30/2019;5230;5135;218;5280;5095;;;;
Mo;04/29/2019;5140;5110;275;5175;5070;;;;
;;0;;;;;;;;
Fr;04/26/2019;5080;5400;297;5400;4955;;;;
Th;04/25/2019;5490;5460;75;5505;5390;;;;
We;04/24/2019;5435;5575;451;5610;5385;;;;
Tu;04/23/2019;5600;5490;297;5650;5490;;;;
Mo;04/22/2019;5395;5310;118;5455;5275;;;;
;;0;;;;;;;;
Th;04/18/2019;5305;5245;66;5325;5235;;;;
We;04/17/2019;5240;5240;153;5240;5190;;;;
Tu;04/16/2019;5200;5030;125;5225;5025;;;;
Mo;04/15/2019;5010;5115;107;5170;4990;;;;
;;0;;;;;;;;
Fr;12/4/2019;5065;5025;102;5115;4905;;;;
Th;11/4/2019;5075;5305;176;5305;4990;;;;
We;10/4/2019;5415;5210;124;5475;5195;;;;
Tu;9/4/2019;5220;5300;90;5300;5175;;;;
Mo;8/4/2019;5215;5205;235;5365;5150;;;;
;;0;;;;;;;;
Fr;5/4/2019;5015;4930;64;5060;4915;;;;
Th;4/4/2019;4840;5240;339;5255;4815;;;;
We;3/4/2019;5150;4780;460;5320;4780;;;;
Tu;2/4/2019;4775;4155;388;4980;4155;;;;
Mo;1/4/2019;4125;4095;160;4135;4055;;;;
;;0;;;;;;;;
Fr;03/29/2019;4079;4005;581;4100;4000;;;;
Th;03/28/2019;4010;4010;1888;4035;3995;;;;
We;03/27/2019;4005;3905;4108;4035;3905;;;;
Tu;03/26/2019;3905;3885;1996;3915;3880;;;;
Mo;03/25/2019;3895;3965;2410;3970;3845;;;;
;;0;;;;;;;;
Fr;03/22/2019;3980;3970;1704;3995;3955;;;;
Th;03/21/2019;3965;4015;3769;4060;3900;;;;
We;03/20/2019;4010;3990;2560;4020;3965;;;;
Tu;03/19/2019;3995;3970;2332;4015;3950;;;;
Mo;03/18/2019;3960;3965;2756;4025;3935;;;;
;;0;;;;;;;;
Fr;03/15/2019;3900;3850;2938;3910;3845;;;;
Th;03/14/2019;3845;3840;4463;3905;3775;;;;
We;03/13/2019;3845;3855;2105;3870;3820;;;;
Tu;12/3/2019;3845;3845;2961;3880;3790;;;;
Mo;11/3/2019;3835;3885;3539;3915;3810;;;;
;;0;;;;;;;;
Fr;8/3/2019;3890;3905;3781;3920;3845;;;;
Th;7/3/2019;3870;3855;4092;3890;3830;;;;
We;6/3/2019;3840;3835;4104;3900;3810;;;;
Tu;5/3/2019;3835;3675;4969;3865;3655;;;;
Mo;4/3/2019;3690;3780;4577;3795;3660;;;;
;;0;;;;;;;;
Fr;1/3/2019;3820;3785;1825;3830;3780;;;;
Th;02/28/2019;3790;3765;6752;3875;3745;;;;
We;02/27/2019;3710;3780;4843;3815;3620;;;;
Tu;02/26/2019;3775;3805;3067;3820;3745;;;;
Mo;02/25/2019;3820;3770;5866;3845;3705;;;;
;;0;;;;;;;;
Fr;02/22/2019;3930;3895;4000;3970;3885;;;;
Th;02/21/2019;3900;3935;1246;3985;3860;;;;
We;02/20/2019;3940;3915;1084;3970;3880;;;;
Tu;02/19/2019;3935;3575;2185;3975;3575;;;;
;;0;;;;;;;;
Fr;02/15/2019;3555;3550;167;3610;3535;;;;
Th;02/14/2019;3555;3570;118;3580;3530;;;;
We;02/13/2019;3555;3565;93;3600;3545;;;;
Tu;12/2/2019;3595;3580;155;3605;3550;;;;
Mo;11/2/2019;3595;3605;269;3640;3575;;;;
;;0;;;;;;;;
Fr;8/2/2019;3605;3320;369;3710;3320;;;;
Th;7/2/2019;3330;3335;118;3355;3325;;;;
We;6/2/2019;3325;3370;74;3370;3305;;;;
Tu;5/2/2019;3390;3370;40;3395;3370;;;;
Mo;4/2/2019;3380;3380;61;3390;3370;;;;
;;0;;;;;;;;
Fr;1/2/2019;3415;3370;75;3420;3340;;;;
Th;01/31/2019;3385;3420;280;3420;3355;;;;
We;01/30/2019;3395;3360;61;3410;3360;;;;
Tu;01/29/2019;3355;3380;90;3380;3310;;;;
Mo;01/28/2019;3365;3485;261;3485;3330;;;;
;;0;;;;;;;;
Fr;01/25/2019;3495;3510;165;3525;3475;;;;
Th;01/24/2019;3520;3490;32;3530;3490;;;;
We;01/23/2019;3500;3535;431;3540;3475;;;;
Tu;01/22/2019;3540;3480;36;3565;3375;;;;
;;0;;;;;;;;
Fr;01/18/2019;3545;3535;26;3555;3510;;;;
Th;01/17/2019;3570;3530;20;3600;3525;;;;
We;01/16/2019;3525;3540;27;3585;3540;;;;
Tu;01/15/2019;3510;3635;23;3635;3490;;;;
Mo;01/14/2019;3620;3480;47;3660;3475;;;;
;;0;;;;;;;;
Fr;11/1/2019;3600;3580;43;3605;3560;;;;
Th;10/1/2019;3580;3985;113;4000;3535;;;;
We;9/1/2019;3970;3970;79;4000;3930;;;;
Tu;8/1/2019;3965;3915;112;4070;3905;;;;
Mo;7/1/2019;3960;3930;32;4035;3930;;;;
;;0;;;;;;;;
Fr;4/1/2019;3725;3730;23;3760;3670;;;;
Th;3/1/2019;3735;3800;31;3805;3700;;;;
We;2/1/2019;3810;3880;40;3880;3715;;;;
Mo;12/31/2018;3635;3765;18;3780;3630;;;;
;;0;;;;;;;;
Fr;12/28/2018;3709;3560;640;3800;3560;;;;
Th;12/27/2018;3565;3800;3404;3840;3535;;;;
