,file,risk measure,OHR,copula
380,103.csv,ES q=0.05,1.2688476562500006,Gaussian
381,103.csv,ES q=0.05,1.2623046875000006,t_Copula
382,103.csv,ES q=0.05,1.2623046875000006,t_Copula_Capped
383,103.csv,ES q=0.05,1.1197265625,Clayton
384,103.csv,ES q=0.05,1.2548828125000009,Frank
385,103.csv,ES q=0.05,1.5208007812500015,Gumbel
386,103.csv,ES q=0.05,1.1597656250000004,Plackett
387,103.csv,ES q=0.05,1.2664062500000006,Gauss Mix Indep
388,103.csv,ES q=0.05,1.05322265625,rotGumbel
389,103.csv,ES q=0.05,1.2089258809520682,NIG
390,103.csv,VaR q=0.01,1.2735351562500008,Gaussian
391,103.csv,VaR q=0.01,1.2770507812500007,t_Copula
392,103.csv,VaR q=0.01,1.2770507812500007,t_Copula_Capped
393,103.csv,VaR q=0.01,1.0544921875,Clayton
394,103.csv,VaR q=0.01,1.2220703125000003,Frank
395,103.csv,VaR q=0.01,1.560937500000002,Gumbel
396,103.csv,VaR q=0.01,1.1389648437500002,Plackett
397,103.csv,VaR q=0.01,1.2749023437500009,Gauss Mix Indep
398,103.csv,VaR q=0.01,1.0,rotGumbel
399,103.csv,VaR q=0.01,1.237404629703736,NIG
400,103.csv,VaR q=0.05,1.2629882812500006,Gaussian
401,103.csv,VaR q=0.05,1.2587890625000002,t_Copula
402,103.csv,VaR q=0.05,1.2587890625000002,t_Copula_Capped
403,103.csv,VaR q=0.05,1.2945312500000006,Clayton
404,103.csv,VaR q=0.05,1.365625000000001,Frank
405,103.csv,VaR q=0.05,1.450000000000001,Gumbel
406,103.csv,VaR q=0.05,1.2888671875000008,Plackett
407,103.csv,VaR q=0.05,1.2751953125000008,Gauss Mix Indep
408,103.csv,VaR q=0.05,1.1702148437500006,rotGumbel
409,103.csv,VaR q=0.05,1.2112125737048909,NIG
410,103.csv,Variance,1.2642578125000006,Gaussian
411,103.csv,Variance,1.2612304687500009,t_Copula
412,103.csv,Variance,1.2612304687500009,t_Copula_Capped
413,103.csv,Variance,1.358203125000001,Clayton
414,103.csv,Variance,1.2748046875000008,Frank
415,103.csv,Variance,1.2484375000000003,Gumbel
416,103.csv,Variance,1.2221679687500004,Plackett
417,103.csv,Variance,1.2614257812500007,Gauss Mix Indep
418,103.csv,Variance,1.2652343750000008,rotGumbel
419,103.csv,Variance,1.2299670761907813,NIG
420,104.csv,ERM k=10,1.2451171875000009,Gaussian
421,104.csv,ERM k=10,1.2405273437500006,t_Copula
422,104.csv,ERM k=10,1.2405273437500006,t_Copula_Capped
423,104.csv,ERM k=10,1.1688476562500003,Clayton
424,104.csv,ERM k=10,1.2780273437500007,Frank
425,104.csv,ERM k=10,1.431152343750001,Gumbel
426,104.csv,ERM k=10,1.2202148437500004,Plackett
427,104.csv,ERM k=10,1.2431640625000009,Gauss Mix Indep
428,104.csv,ERM k=10,1.101171875,rotGumbel
429,104.csv,ERM k=10,1.1872105399632515,NIG
430,104.csv,ES q=0.01,1.2331054687500007,Gaussian
431,104.csv,ES q=0.01,1.2241210937500004,t_Copula
432,104.csv,ES q=0.01,1.2241210937500004,t_Copula_Capped
433,104.csv,ES q=0.01,0.9171875,Clayton
434,104.csv,ES q=0.01,1.1486328125000005,Frank
435,104.csv,ES q=0.01,1.564355468750002,Gumbel
436,104.csv,ES q=0.01,0.987109375,Plackett
437,104.csv,ES q=0.01,1.2291015625000006,Gauss Mix Indep
438,104.csv,ES q=0.01,0.90673828125,rotGumbel
439,104.csv,ES q=0.01,1.046894766742308,NIG
440,104.csv,ES q=0.05,1.2550781250000007,Gaussian
441,104.csv,ES q=0.05,1.2482421875000005,t_Copula
442,104.csv,ES q=0.05,1.2482421875000005,t_Copula_Capped
443,104.csv,ES q=0.05,1.07666015625,Clayton
444,104.csv,ES q=0.05,1.2417968750000008,Frank
445,104.csv,ES q=0.05,1.5123046875000017,Gumbel
446,104.csv,ES q=0.05,1.1481445312500005,Plackett
447,104.csv,ES q=0.05,1.2530273437500008,Gauss Mix Indep
448,104.csv,ES q=0.05,1.02919921875,rotGumbel
449,104.csv,ES q=0.05,1.2067698974858012,NIG
450,104.csv,VaR q=0.01,1.2511718750000007,Gaussian
451,104.csv,VaR q=0.01,1.2579101562500004,t_Copula
452,104.csv,VaR q=0.01,1.2579101562500004,t_Copula_Capped
453,104.csv,VaR q=0.01,1.0408203125,Clayton
454,104.csv,VaR q=0.01,1.1885742187500004,Frank
455,104.csv,VaR q=0.01,1.5552734375000017,Gumbel
456,104.csv,VaR q=0.01,1.1091796875,Plackett
457,104.csv,VaR q=0.01,1.2611328125000008,Gauss Mix Indep
458,104.csv,VaR q=0.01,0.9875,rotGumbel
459,104.csv,VaR q=0.01,1.1312813520098526,NIG
460,104.csv,VaR q=0.05,1.2765625000000007,Gaussian
461,104.csv,VaR q=0.05,1.2486328125000006,t_Copula
462,104.csv,VaR q=0.05,1.2486328125000006,t_Copula_Capped
463,104.csv,VaR q=0.05,1.2500976562500008,Clayton
464,104.csv,VaR q=0.05,1.3484375000000008,Frank
465,104.csv,VaR q=0.05,1.4511718750000009,Gumbel
466,104.csv,VaR q=0.05,1.2843750000000007,Plackett
467,104.csv,VaR q=0.05,1.2605468750000006,Gauss Mix Indep
468,104.csv,VaR q=0.05,1.1357421875000002,rotGumbel
469,104.csv,VaR q=0.05,1.217769349356886,NIG
470,104.csv,Variance,1.2333007812500003,Gaussian
471,104.csv,Variance,1.2304687500000009,t_Copula
472,104.csv,Variance,1.2304687500000009,t_Copula_Capped
473,104.csv,Variance,1.315625000000001,Clayton
474,104.csv,Variance,1.244042968750001,Frank
475,104.csv,Variance,1.2185546875000004,Gumbel
476,104.csv,Variance,1.1938476562500004,Plackett
