"date","Future","BTC"
"2021-03-29",58210,57741.46064
"2021-03-30",59705,58720.70282
"2021-03-31",59285,58633.68671
"2021-04-01",59615,58998.93497
"2021-04-02",59615,58822.63496
"2021-04-05",59840,58873.38958
"2021-04-06",58735,57893.75814
"2021-04-07",56310,56446.78773
"2021-04-08",58155,57914.62892
"2021-04-09",58760,58081.23644
"2021-04-12",60545,60044.43083
"2021-04-13",63685,63226.31827
"2021-04-14",62400,62839.25333
"2021-04-15",63840,63266.82029
"2021-04-16",61980,61562.73887
"2021-04-19",56045,56003.63709
"2021-04-20",56715,56397.88579
"2021-04-21",55610,54008.48408
"2021-04-22",52860,51622.57976
"2021-04-23",50845,50487.12194
"2021-04-26",54070,53609.89527
"2021-04-27",54790,54947.16093
"2021-04-28",55410,54485.92191
"2021-04-29",52900,53400.09561
"2021-04-30",56127,57154.48141
"2021-05-03",57765,57298.18753
"2021-05-04",54515,54089.50776
"2021-05-05",57295,57145.81997
"2021-05-06",56180,56517.34724
"2021-05-07",57760,57047.37966
"2021-05-10",55705,56245.95435
"2021-05-11",56805,56417.53152
"2021-05-12",54445,52928.65678
"2021-05-13",48365,48898.66737
"2021-05-14",50190,49923.71832
"2021-05-17",44060,42889.69917
"2021-05-18",43150,42825.22373
"2021-05-19",39340,39104.14936
"2021-05-20",40320,41471.89575
"2021-05-21",41055,36683.82776
