,Date,Open,High,Low,Close,Open Interest,SMAVG (15),date,price,log return future,log return CRIX
368,2019-03-29,4005.0,4100.0,4000.0,4079.0,212.0,1846.0,2019-03-29,10650.43764,-0.001247660798155252,-0.005425487234475071
369,2019-03-28,4010.0,4035.0,3995.0,4010.0,445.0,2002.0,2019-03-28,10708.37849,0.026533458026828573,0.03099375365614857
370,2019-03-27,3905.0,4035.0,3905.0,4005.0,699.0,2144.0,2019-03-27,10381.57622,0.00513479947203844,-0.009326029430903842
371,2019-03-26,3885.0,3915.0,3880.0,3905.0,1317.0,2255.0,2019-03-26,10478.84798,-0.020382871267200557,-0.00761052275041733
372,2019-03-25,3965.0,3970.0,3845.0,3895.0,1744.0,2330.0,2019-03-25,10558.90173,-0.0012602396122877771,0.007818690387964988
373,2019-03-22,3970.0,3995.0,3955.0,3980.0,2021.0,2371.0,2019-03-22,10476.66685,-0.011271252699625997,-0.018359861538815376
374,2019-03-21,4015.0,4060.0,3900.0,3965.0,2186.0,2398.0,2019-03-21,10670.79362,0.0062461164969529895,0.00824457217395843
375,2019-03-20,3990.0,4020.0,3965.0,4010.0,2290.0,2420.0,2019-03-20,10583.17916,0.0050251362026729795,0.00616211512490642
376,2019-03-19,3970.0,4015.0,3950.0,3995.0,2324.0,2443.0,2019-03-19,10518.16491,0.0012602396122877732,0.0007340884477309693
377,2019-03-18,3965.0,4025.0,3935.0,3960.0,2343.0,2466.0,2019-03-18,10510.44648,0.029432706787118408,0.031326305252554275
378,2019-03-15,3850.0,3910.0,3845.0,3900.0,2366.0,2500.0,2019-03-15,10186.29674,0.0026007817000574403,0.004193104169096756
379,2019-03-14,3840.0,3905.0,3775.0,3845.0,2362.0,2534.0,2019-03-14,10143.67396,-0.003898640415657309,-0.0033116939911014003
380,2019-03-13,3855.0,3870.0,3820.0,3845.0,2496.0,2558.0,2019-03-13,10177.32239,0.002597404057685471,0.007690839114150135
381,2019-03-12,3845.0,3880.0,3790.0,3845.0,2455.0,2543.0,2019-03-12,10099.35046,-0.01034938086200352,-0.016169541559693624
382,2019-03-11,3885.0,3915.0,3810.0,3835.0,2428.0,2500.0,2019-03-11,10263.97973,-0.005134799472038528,0.01247992183487514
383,2019-03-08,3905.0,3920.0,3845.0,3890.0,2551.0,2394.0,2019-03-08,10136.68205,0.01288677627635643,0.0018562358611238815
384,2019-03-07,3855.0,3890.0,3830.0,3870.0,2571.0,2277.0,2019-03-07,10117.88343,0.005201572196073408,0.004217794304795019
