Date,Coin,Weight in Index
2015-04-01,burst,0.413048%
2015-04-01,tether,0.386109%
2015-04-01,potcoin,0.363329%
2015-04-01,feathercoin,0.342078%
2015-03-01,bitcoin,43.9348%
2015-03-01,ripple,15.7276%
2015-03-01,litecoin,6.21771%
2015-03-01,bitshares,3.74839%
2015-03-01,dash,2.8794%
2015-03-01,dogecoin,2.85273%
2015-03-01,maidsafecoin,2.75389%
2015-03-01,nxt,2.66202%
2015-03-01,stellar,2.56835%
2015-03-01,peercoin,2.19063%
2015-03-01,namecoin,1.75679%
2015-03-01,counterparty,1.35958%
2015-03-01,supernet-unity,1.15276%
2015-03-01,monero,1.12353%
2015-03-01,bytecoin-bcn,0.967784%
2015-03-01,monacoin,0.871007%
2015-03-01,blackcoin,0.853334%
2015-03-01,bitcoindark,0.833039%
2015-03-01,digitalnote,0.73032%
2015-03-01,reddcoin,0.59374%
2015-03-01,faircoin,0.527937%
2015-03-01,bitbay,0.483292%
2015-03-01,jinn,0.452896%
2015-03-01,vertcoin,0.415764%
2015-03-01,viacoin,0.407964%
2015-03-01,emercoin,0.395412%
2015-03-01,potcoin,0.38839%
2015-03-01,gulden,0.387984%
2015-03-01,burst,0.387518%
2015-03-01,feathercoin,0.375457%
2015-02-01,bitcoin,43.1036%
2015-02-01,ripple,16.4854%
2015-02-01,litecoin,6.14136%
2015-02-01,bitshares,3.94399%
2015-02-01,stellar,3.08894%
2015-02-01,dogecoin,2.88815%
2015-02-01,maidsafecoin,2.8537%
2015-02-01,nxt,2.73485%
2015-02-01,dash,2.18555%
2015-02-01,peercoin,2.15056%
2015-02-01,counterparty,1.78526%
2015-02-01,namecoin,1.76039%
2015-02-01,supernet-unity,1.21685%
2015-02-01,monero,0.999784%
2015-02-01,blackcoin,0.935182%
2015-02-01,bytecoin-bcn,0.933886%
2015-02-01,bitcoindark,0.784678%
2015-02-01,monacoin,0.699074%
2015-02-01,reddcoin,0.62324%
2015-02-01,digitalnote,0.508297%
2015-02-01,emercoin,0.483672%
2015-02-01,feathercoin,0.48123%
2015-02-01,jinn,0.476181%
2015-02-01,viacoin,0.436699%
2015-02-01,bitbay,0.423562%
2015-02-01,faircoin,0.408241%
2015-02-01,potcoin,0.392732%
2015-02-01,gulden,0.386624%
2015-02-01,burst,0.358069%
2015-02-01,vertcoin,0.330197%
2015-01-01,bitcoin,42.3902%
2015-01-01,ripple,17.5145%
2015-01-01,litecoin,6.33082%
2015-01-01,bitshares,4.09625%
2015-01-01,maidsafecoin,3.07278%
2015-01-01,stellar,2.86147%
2015-01-01,dogecoin,2.72352%
2015-01-01,nxt,2.62588%
2015-01-01,peercoin,2.29377%
2015-01-01,counterparty,2.12305%
2015-01-01,dash,1.9926%
2015-01-01,namecoin,1.79063%
2015-01-01,supernet-unity,1.28409%
2015-01-01,monero,1.01674%
2015-01-01,blackcoin,0.963269%
2015-01-01,bitcoindark,0.850991%
2015-01-01,bytecoin-bcn,0.746931%
2015-01-01,feathercoin,0.685602%
2015-01-01,reddcoin,0.617568%
2015-01-01,jinn,0.521207%
2015-01-01,viacoin,0.458444%
2015-01-01,monacoin,0.42419%
2015-01-01,digitalnote,0.404001%
2015-01-01,faircoin,0.346409%
2015-01-01,gulden,0.339751%
2015-01-01,vertcoin,0.325175%
2015-01-01,burst,0.318959%
2015-01-01,emercoin,0.317036%
2015-01-01,bitbay,0.290892%
2015-01-01,potcoin,0.273192%
