Bitwise Asset Management
Bitwise 10 Large Cap Crypto Index (BITX)
Data as of 07/07/2021 4pm EDT
Index Inception Date: 10/01/2017 8pm EDT
Please read important disclosures below the data.

Date,BITX,% Change
Wed Aug 16 2017 00:00:00 GMT+0000,6047.4,-2.97%
Thu Aug 17 2017 00:00:00 GMT+0000,6281.44,3.87%
Fri Aug 18 2017 00:00:00 GMT+0000,6186.3,-1.51%
Sat Aug 19 2017 00:00:00 GMT+0000,5994.97,-3.09%
Sun Aug 20 2017 00:00:00 GMT+0000,6084.65,1.50%
Mon Aug 21 2017 00:00:00 GMT+0000,6029.64,-0.90%
Tue Aug 22 2017 00:00:00 GMT+0000,6134.93,1.75%
Wed Aug 23 2017 00:00:00 GMT+0000,6302.74,2.74%
Thu Aug 24 2017 00:00:00 GMT+0000,6426.92,1.97%
Fri Aug 25 2017 00:00:00 GMT+0000,6562.35,2.11%
Sat Aug 26 2017 00:00:00 GMT+0000,6644.35,1.25%
Sun Aug 27 2017 00:00:00 GMT+0000,6713.61,1.04%
Mon Aug 28 2017 00:00:00 GMT+0000,6806.8,1.39%
Tue Aug 29 2017 00:00:00 GMT+0000,6853.87,0.69%
Wed Aug 30 2017 00:00:00 GMT+0000,7064.32,3.07%
Thu Aug 31 2017 00:00:00 GMT+0000,7118.25,0.76%
Fri Sep 01 2017 00:00:00 GMT+0000,7378.74,3.66%
Sat Sep 02 2017 00:00:00 GMT+0000,7661.76,3.84%
Sun Sep 03 2017 00:00:00 GMT+0000,7071.93,-7.70%
Mon Sep 04 2017 00:00:00 GMT+0000,7075.65,0.05%
Tue Sep 05 2017 00:00:00 GMT+0000,6299.18,-10.97%
Wed Sep 06 2017 00:00:00 GMT+0000,6579.57,4.45%
Thu Sep 07 2017 00:00:00 GMT+0000,6991.13,6.26%
Fri Sep 08 2017 00:00:00 GMT+0000,7022.29,0.45%
Sat Sep 09 2017 00:00:00 GMT+0000,6393.26,-8.96%
Sun Sep 10 2017 00:00:00 GMT+0000,6323.06,-1.10%
Mon Sep 11 2017 00:00:00 GMT+0000,6198.22,-1.97%
Tue Sep 12 2017 00:00:00 GMT+0000,6275.12,1.24%
