,copula,risk_measure,h,file,HE,likelihood,AIC,AIC_selected
1009,Clayton,VaR q=0.05,0.8741210937499998,16.csv,0.5065191717488431,123.50028402987951,-245.00056805975902,0
1010,Clayton,VaR q=0.05,1.01806640625,60.csv,0.4379651396028478,124.19999235942991,-246.39998471885983,0
1011,Clayton,VaR q=0.05,1.7084960937500016,111.csv,0.4302610018651034,-424.35937064804193,850.7187412960839,0
1012,Clayton,Variance,1.353125000000001,111.csv,0.6777517410899252,-424.35937064804193,850.7187412960839,0
1013,Clayton,VaR q=0.05,1.665039062500002,97.csv,0.479128927199569,-281.3611259897054,564.7222519794108,0
1014,Clayton,ERM k=10,0.9275390625,18.csv,0.4268464158147742,127.43762633251885,-252.8752526650377,0
1015,Clayton,ES q=0.05,1.0049804687500004,0.csv,0.45313603818526527,24.77593281627857,-47.55186563255714,0
1016,Clayton,ERM k=10,1.346972656250001,97.csv,0.4377005339969603,-281.3611259897054,564.7222519794108,0
1017,Clayton,ERM k=10,0.5991210937499997,183.csv,0.10118355064633866,94.0388054354595,-186.077610870919,0
1018,Clayton,ES q=0.01,0.9394531249999999,21.csv,0.4554485536301952,120.20555608354859,-238.41111216709717,0
1019,Clayton,Variance,0.8649414062499999,48.csv,0.6285394594139984,122.00490857245268,-242.00981714490536,0
1020,Clayton,VaR q=0.01,0.96494140625,0.csv,0.3267557842743033,24.77593281627857,-47.55186563255714,0
1021,Clayton,Variance,1.3384765625000008,97.csv,0.6836504271296564,-281.3611259897054,564.7222519794108,0
1022,Clayton,VaR q=0.01,0.90234375,16.csv,0.3200454693672887,123.50028402987951,-245.00056805975902,0
1023,Clayton,VaR q=0.01,0.858203125,18.csv,0.32763269137927464,127.43762633251885,-252.8752526650377,0
1024,Clayton,ES q=0.01,0.7527343749999998,48.csv,0.33088350318682136,122.00490857245268,-242.00981714490536,0
1025,Clayton,Variance,0.7295898437499997,183.csv,0.27856712038514997,94.0388054354595,-186.077610870919,0
1026,Clayton,Variance,0.7378906249999998,166.csv,0.25492396590937827,95.7375566835546,-189.4751133671092,0
1027,Clayton,VaR q=0.05,1.1358398437500004,0.csv,0.44367324032659505,24.77593281627857,-47.55186563255714,0
